Symptom Description,Disease Name,Solution
wilting of soybean roots,Nitrogen Deficiency,Spray sulfur-based fungicide
yellowing of brinjal roots,Nitrogen Deficiency,Improve drainage and avoid overwatering
holes of wheat fruits,Anthracnose,Remove infected plants and apply copper-based bactericide
wilting of chilli stems,Nitrogen Deficiency,Apply urea or compost with high nitrogen content
yellowing of rice fruits,Bacterial Wilt,Apply urea or compost with high nitrogen content
mold of tomato fruits,Leaf Blast,Spray sulfur-based fungicide
mold of maize flowers,Downy Mildew,Use Tricyclazole or resistant variety
curling of rice fruits,Nitrogen Deficiency,Apply appropriate insecticides and remove infected parts
powder of cotton stems,Anthracnose,Use neem oil or Spinosad spray
holes of chilli leaves,Leaf Blast,Spray insecticidal soap or horticultural oil
wilting of maize fruits,Aphid Attack,Use neem oil or Spinosad spray
patches of wheat flowers,Anthracnose,Remove infected plants and apply copper-based bactericide
wilting of wheat flowers,Powdery Mildew,Spray insecticidal soap or horticultural oil
powder of rice roots,Rust,Spray insecticidal soap or horticultural oil
patches of soybean flowers,Aphid Attack,Use systemic fungicide like metalaxyl
wilting of brinjal fruits,Bacterial Wilt,Remove infected plants and apply copper-based bactericide
mold of chilli fruits,Anthracnose,Apply urea or compost with high nitrogen content
blight of soybean fruits,Aphid Attack,Remove infected plants and apply copper-based bactericide
spots of rice fruits,Bacterial Wilt,Improve drainage and avoid overwatering
patches of cabbage flowers,Root Rot,Use Tricyclazole or resistant variety
blight of wheat fruits,Caterpillar Infestation,Improve drainage and avoid overwatering
wilting of maize stems,Aphid Attack,Apply urea or compost with high nitrogen content
holes of chilli stems,Nitrogen Deficiency,Remove infected plants and apply copper-based bactericide
powder of tomato stems,Nitrogen Deficiency,Spray insecticidal soap or horticultural oil
drooping of cotton leaves,Downy Mildew,Use Tricyclazole or resistant variety
blight of soybean leaves,Leaf Blast,Improve drainage and avoid overwatering
mold of wheat stems,Caterpillar Infestation,Remove infected plants and apply copper-based bactericide
curling of wheat leaves,Root Rot,Use resistant plant varieties and rotate crops
spots of chilli leaves,Downy Mildew,Apply appropriate insecticides and remove infected parts
holes of rice leaves,Root Rot,Apply appropriate insecticides and remove infected parts
spots of cabbage fruits,Caterpillar Infestation,Use neem oil or Spinosad spray
yellowing of rice roots,Root Rot,Use systemic fungicide like metalaxyl
wilting of wheat flowers,Downy Mildew,Spray sulfur-based fungicide
holes of tomato fruits,Downy Mildew,Use resistant plant varieties and rotate crops
wilting of cotton leaves,Leaf Blast,Apply urea or compost with high nitrogen content
curling of wheat leaves,Downy Mildew,Use systemic fungicide like metalaxyl
patches of brinjal fruits,Downy Mildew,Remove infected plants and apply copper-based bactericide
blight of wheat stems,Downy Mildew,Apply appropriate insecticides and remove infected parts
wilting of rice fruits,Powdery Mildew,Improve drainage and avoid overwatering
blight of soybean roots,Root Rot,Use resistant plant varieties and rotate crops
curling of brinjal stems,Leaf Blast,Improve drainage and avoid overwatering
curling of soybean roots,Nitrogen Deficiency,Use resistant plant varieties and rotate crops
yellowing of brinjal flowers,Leaf Blast,Spray insecticidal soap or horticultural oil
yellowing of cabbage stems,Root Rot,Improve drainage and avoid overwatering
powder of wheat leaves,Nitrogen Deficiency,Use resistant plant varieties and rotate crops
powder of brinjal stems,Rust,Use systemic fungicide like metalaxyl
patches of brinjal stems,Powdery Mildew,Spray sulfur-based fungicide
wilting of pepper stems,Root Rot,Remove infected plants and apply copper-based bactericide
yellowing of cabbage leaves,Caterpillar Infestation,Spray insecticidal soap or horticultural oil
yellowing of cabbage flowers,Bacterial Wilt,Improve drainage and avoid overwatering
holes of tomato roots,Bacterial Wilt,Use systemic fungicide like metalaxyl
mold of rice flowers,Downy Mildew,Spray insecticidal soap or horticultural oil
powder of cabbage fruits,Anthracnose,Apply urea or compost with high nitrogen content
drooping of maize flowers,Nitrogen Deficiency,Use Tricyclazole or resistant variety
mold of maize flowers,Downy Mildew,Improve drainage and avoid overwatering
drooping of chilli leaves,Caterpillar Infestation,Use Tricyclazole or resistant variety
holes of pepper fruits,Nitrogen Deficiency,Apply urea or compost with high nitrogen content
blight of tomato roots,Downy Mildew,Spray insecticidal soap or horticultural oil
curling of wheat stems,Nitrogen Deficiency,Spray sulfur-based fungicide
holes of wheat flowers,Rust,Use resistant plant varieties and rotate crops
mold of wheat leaves,Nitrogen Deficiency,Use resistant plant varieties and rotate crops
curling of maize roots,Anthracnose,Use neem oil or Spinosad spray
mold of cabbage flowers,Root Rot,Improve drainage and avoid overwatering
curling of wheat fruits,Leaf Blast,Apply urea or compost with high nitrogen content
wilting of cabbage leaves,Leaf Blast,Use neem oil or Spinosad spray
powder of soybean flowers,Root Rot,Apply appropriate insecticides and remove infected parts
powder of pepper leaves,Anthracnose,Spray sulfur-based fungicide
powder of maize stems,Nitrogen Deficiency,Apply urea or compost with high nitrogen content
drooping of brinjal leaves,Powdery Mildew,Use neem oil or Spinosad spray
yellowing of rice leaves,Root Rot,Spray sulfur-based fungicide
holes of cabbage leaves,Bacterial Wilt,Spray sulfur-based fungicide
spots of cotton flowers,Downy Mildew,Spray insecticidal soap or horticultural oil
yellowing of pepper roots,Leaf Blast,Spray sulfur-based fungicide
powder of chilli flowers,Nitrogen Deficiency,Use Tricyclazole or resistant variety
curling of tomato stems,Rust,Apply urea or compost with high nitrogen content
wilting of chilli flowers,Aphid Attack,Apply urea or compost with high nitrogen content
holes of wheat stems,Root Rot,Use neem oil or Spinosad spray
powder of tomato flowers,Root Rot,Apply urea or compost with high nitrogen content
spots of wheat stems,Downy Mildew,Spray sulfur-based fungicide
drooping of tomato fruits,Leaf Blast,Use neem oil or Spinosad spray
blight of maize roots,Caterpillar Infestation,Apply urea or compost with high nitrogen content
patches of brinjal leaves,Anthracnose,Spray insecticidal soap or horticultural oil
mold of cotton leaves,Nitrogen Deficiency,Use Tricyclazole or resistant variety
powder of brinjal roots,Caterpillar Infestation,Apply urea or compost with high nitrogen content
powder of pepper stems,Caterpillar Infestation,Use resistant plant varieties and rotate crops
wilting of tomato stems,Leaf Blast,Use Tricyclazole or resistant variety
blight of brinjal fruits,Powdery Mildew,Apply urea or compost with high nitrogen content
yellowing of chilli leaves,Downy Mildew,Improve drainage and avoid overwatering
curling of tomato fruits,Root Rot,Use Tricyclazole or resistant variety
curling of pepper roots,Leaf Blast,Spray sulfur-based fungicide
blight of soybean flowers,Powdery Mildew,Remove infected plants and apply copper-based bactericide
mold of cabbage leaves,Bacterial Wilt,Spray insecticidal soap or horticultural oil
wilting of pepper roots,Leaf Blast,Spray sulfur-based fungicide
wilting of wheat roots,Root Rot,Use Tricyclazole or resistant variety
mold of pepper roots,Leaf Blast,Use systemic fungicide like metalaxyl
spots of maize fruits,Anthracnose,Improve drainage and avoid overwatering
curling of pepper roots,Bacterial Wilt,Improve drainage and avoid overwatering
mold of tomato roots,Nitrogen Deficiency,Use resistant plant varieties and rotate crops
spots of tomato leaves,Bacterial Wilt,Use Tricyclazole or resistant variety
yellowing of maize fruits,Anthracnose,Remove infected plants and apply copper-based bactericide
holes of maize roots,Caterpillar Infestation,Apply appropriate insecticides and remove infected parts
blight of cotton fruits,Powdery Mildew,Use Tricyclazole or resistant variety
yellowing of cabbage leaves,Leaf Blast,Spray sulfur-based fungicide
curling of pepper roots,Rust,Use neem oil or Spinosad spray
drooping of pepper stems,Powdery Mildew,Use resistant plant varieties and rotate crops
yellowing of pepper stems,Nitrogen Deficiency,Use Tricyclazole or resistant variety
patches of brinjal flowers,Nitrogen Deficiency,Improve drainage and avoid overwatering
holes of rice roots,Root Rot,Use resistant plant varieties and rotate crops
curling of maize stems,Caterpillar Infestation,Use systemic fungicide like metalaxyl
wilting of pepper leaves,Leaf Blast,Use resistant plant varieties and rotate crops
blight of soybean flowers,Anthracnose,Improve drainage and avoid overwatering
spots of cotton roots,Bacterial Wilt,Spray sulfur-based fungicide
holes of wheat leaves,Aphid Attack,Use resistant plant varieties and rotate crops
curling of chilli roots,Anthracnose,Use Tricyclazole or resistant variety
powder of maize roots,Leaf Blast,Use neem oil or Spinosad spray
powder of brinjal roots,Root Rot,Apply urea or compost with high nitrogen content
mold of chilli leaves,Aphid Attack,Apply appropriate insecticides and remove infected parts
spots of rice roots,Anthracnose,Use systemic fungicide like metalaxyl
yellowing of maize fruits,Bacterial Wilt,Use systemic fungicide like metalaxyl
mold of pepper fruits,Root Rot,Use neem oil or Spinosad spray
wilting of pepper fruits,Anthracnose,Use neem oil or Spinosad spray
blight of tomato leaves,Leaf Blast,Use neem oil or Spinosad spray
yellowing of cotton flowers,Downy Mildew,Apply urea or compost with high nitrogen content
yellowing of brinjal leaves,Powdery Mildew,Apply appropriate insecticides and remove infected parts
holes of tomato fruits,Downy Mildew,Spray insecticidal soap or horticultural oil
blight of maize stems,Anthracnose,Use neem oil or Spinosad spray
mold of tomato stems,Anthracnose,Remove infected plants and apply copper-based bactericide
powder of cotton fruits,Caterpillar Infestation,Improve drainage and avoid overwatering
spots of maize flowers,Root Rot,Remove infected plants and apply copper-based bactericide
curling of cotton roots,Powdery Mildew,Apply urea or compost with high nitrogen content
spots of soybean stems,Anthracnose,Use systemic fungicide like metalaxyl
spots of maize flowers,Downy Mildew,Use neem oil or Spinosad spray
yellowing of maize roots,Powdery Mildew,Use systemic fungicide like metalaxyl
wilting of pepper flowers,Powdery Mildew,Apply appropriate insecticides and remove infected parts
patches of soybean stems,Caterpillar Infestation,Use resistant plant varieties and rotate crops
drooping of tomato flowers,Nitrogen Deficiency,Remove infected plants and apply copper-based bactericide
curling of soybean leaves,Powdery Mildew,Apply urea or compost with high nitrogen content
spots of brinjal roots,Leaf Blast,Remove infected plants and apply copper-based bactericide
holes of rice roots,Caterpillar Infestation,Apply urea or compost with high nitrogen content
curling of maize stems,Caterpillar Infestation,Use Tricyclazole or resistant variety
blight of pepper stems,Nitrogen Deficiency,Use Tricyclazole or resistant variety
holes of rice roots,Nitrogen Deficiency,Use systemic fungicide like metalaxyl
drooping of maize stems,Bacterial Wilt,Use neem oil or Spinosad spray
spots of tomato leaves,Powdery Mildew,Use Tricyclazole or resistant variety
holes of rice roots,Aphid Attack,Apply appropriate insecticides and remove infected parts
drooping of tomato flowers,Anthracnose,Use Tricyclazole or resistant variety
drooping of chilli roots,Leaf Blast,Use systemic fungicide like metalaxyl
powder of maize fruits,Nitrogen Deficiency,Improve drainage and avoid overwatering
drooping of cabbage roots,Bacterial Wilt,Improve drainage and avoid overwatering
drooping of cabbage leaves,Powdery Mildew,Remove infected plants and apply copper-based bactericide
yellowing of cotton stems,Aphid Attack,Apply urea or compost with high nitrogen content
spots of cabbage leaves,Caterpillar Infestation,Spray insecticidal soap or horticultural oil
powder of brinjal stems,Leaf Blast,Remove infected plants and apply copper-based bactericide
patches of maize fruits,Rust,Remove infected plants and apply copper-based bactericide
powder of brinjal roots,Root Rot,Use resistant plant varieties and rotate crops
curling of wheat roots,Caterpillar Infestation,Use neem oil or Spinosad spray
curling of pepper stems,Leaf Blast,Improve drainage and avoid overwatering
yellowing of brinjal roots,Aphid Attack,Apply urea or compost with high nitrogen content
yellowing of soybean stems,Aphid Attack,Use neem oil or Spinosad spray
patches of cotton flowers,Anthracnose,Use systemic fungicide like metalaxyl
mold of cabbage leaves,Powdery Mildew,Use systemic fungicide like metalaxyl
blight of chilli fruits,Caterpillar Infestation,Remove infected plants and apply copper-based bactericide
blight of maize stems,Rust,Improve drainage and avoid overwatering
mold of maize fruits,Root Rot,Apply urea or compost with high nitrogen content
drooping of soybean roots,Aphid Attack,Use neem oil or Spinosad spray
powder of maize leaves,Bacterial Wilt,Remove infected plants and apply copper-based bactericide
blight of pepper roots,Bacterial Wilt,Use Tricyclazole or resistant variety
curling of rice roots,Root Rot,Use resistant plant varieties and rotate crops
holes of soybean stems,Powdery Mildew,Use resistant plant varieties and rotate crops
curling of cabbage leaves,Root Rot,Apply urea or compost with high nitrogen content
mold of pepper roots,Powdery Mildew,Apply appropriate insecticides and remove infected parts
powder of chilli fruits,Powdery Mildew,Use resistant plant varieties and rotate crops
patches of tomato flowers,Anthracnose,Use Tricyclazole or resistant variety
mold of wheat roots,Rust,Apply appropriate insecticides and remove infected parts
patches of pepper stems,Downy Mildew,Apply urea or compost with high nitrogen content
curling of soybean stems,Leaf Blast,Use resistant plant varieties and rotate crops
wilting of cabbage leaves,Aphid Attack,Spray insecticidal soap or horticultural oil
blight of cotton stems,Aphid Attack,Apply appropriate insecticides and remove infected parts
blight of wheat leaves,Caterpillar Infestation,Apply urea or compost with high nitrogen content
powder of wheat flowers,Root Rot,Apply urea or compost with high nitrogen content
patches of soybean fruits,Caterpillar Infestation,Improve drainage and avoid overwatering
patches of pepper flowers,Bacterial Wilt,Use Tricyclazole or resistant variety
curling of brinjal roots,Nitrogen Deficiency,Use Tricyclazole or resistant variety
powder of rice roots,Bacterial Wilt,Use resistant plant varieties and rotate crops
wilting of cabbage flowers,Rust,Use resistant plant varieties and rotate crops
mold of wheat stems,Aphid Attack,Use Tricyclazole or resistant variety
holes of chilli fruits,Powdery Mildew,Use Tricyclazole or resistant variety
mold of pepper flowers,Powdery Mildew,Remove infected plants and apply copper-based bactericide
drooping of rice flowers,Downy Mildew,Spray insecticidal soap or horticultural oil
spots of rice leaves,Caterpillar Infestation,Use resistant plant varieties and rotate crops
spots of rice flowers,Root Rot,Improve drainage and avoid overwatering
blight of brinjal flowers,Caterpillar Infestation,Apply urea or compost with high nitrogen content
patches of rice leaves,Rust,Remove infected plants and apply copper-based bactericide
drooping of brinjal stems,Powdery Mildew,Remove infected plants and apply copper-based bactericide
drooping of brinjal roots,Aphid Attack,Use Tricyclazole or resistant variety
drooping of soybean fruits,Aphid Attack,Spray insecticidal soap or horticultural oil
holes of wheat leaves,Bacterial Wilt,Use neem oil or Spinosad spray
mold of maize roots,Rust,Use resistant plant varieties and rotate crops
curling of brinjal roots,Downy Mildew,Spray sulfur-based fungicide
blight of rice stems,Leaf Blast,Apply appropriate insecticides and remove infected parts
holes of brinjal roots,Caterpillar Infestation,Use resistant plant varieties and rotate crops
drooping of pepper flowers,Anthracnose,Spray sulfur-based fungicide
